segment,start_sec,end_sec,impedance_pneumography_signal_mean,pca_gyr_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,impedance_pneumography_signal_std,pca_gyr_chest_signal_std,diff_signal_std,pct_diff_signal_std,impedance_pneumography_signal_rms,pca_gyr_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms,impedance_pneumography_signal_energy,pca_gyr_chest_signal_energy,diff_signal_energy,pct_diff_signal_energy,impedance_pneumography_n_breaths,pca_gyr_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,impedance_pneumography_resp_rate_mean,pca_gyr_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,impedance_pneumography_resp_rate_std,pca_gyr_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,impedance_pneumography_resp_rate_min,pca_gyr_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,impedance_pneumography_resp_rate_max,pca_gyr_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,impedance_pneumography_resp_rate_median,pca_gyr_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,impedance_pneumography_bbi_mean,pca_gyr_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,impedance_pneumography_bbi_std,pca_gyr_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,impedance_pneumography_bbi_cv,pca_gyr_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,impedance_pneumography_bbi_rmssd,pca_gyr_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,impedance_pneumography_peak_amp_mean,pca_gyr_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,impedance_pneumography_peak_amp_std,pca_gyr_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,impedance_pneumography_spi,pca_gyr_chest_spi,diff_spi,pct_diff_spi,impedance_pneumography_spectral_rqi,pca_gyr_chest_spectral_rqi,diff_spectral_rqi,pct_diff_spectral_rqi,impedance_pneumography_dominant_freq_hz,pca_gyr_chest_dominant_freq_hz,diff_dominant_freq_hz,pct_diff_dominant_freq_hz,impedance_pneumography_ac_rqi,pca_gyr_chest_ac_rqi,diff_ac_rqi,pct_diff_ac_rqi,impedance_pneumography_dominant_period_sec,pca_gyr_chest_dominant_period_sec,diff_dominant_period_sec,pct_diff_dominant_period_sec
<<<<<<< HEAD
0,0.0,30.0,0.0005977096475693855,-0.021032065125555464,0.02162977477312485,102.84189709380047,0.004150449023683188,0.04322562507895738,-0.03907517605527419,90.39817465657966,0.004193266497730647,0.04807080638924414,-0.04387753989151349,91.27689586944625,0.13187612940742682,17.331018201841463,-17.199142072434036,99.23907454327517,8,6,2,33.33333333333333,17.722570512676896,15.47628217961747,2.246288333059425,14.514392455429803,2.9192536842489485,3.717885602647866,-0.7986319183989177,21.480809356536806,12.126111560226352,8.870490833826137,3.255620726400215,36.70169765561843,22.354694485842025,18.51851851851852,3.8361759673235056,20.71535022354693,17.50291715285881,17.584994138335286,-0.08207698547647624,0.46674445740956155,3.4920000000000004,4.1952,-0.7031999999999994,16.762013729977102,0.6622973005272742,1.3455500585262519,-0.6832527579989777,50.77869482963181,0.18966131172029613,0.32073561654420574,-0.1310743048239096,40.866775644121255,0.7088845698231365,2.491027900285342,-1.7821433304622056,71.54248775206672,0.0032512012474359684,0.014764054853019778,-0.01151285360558381,77.978940881739,0.005175772483187445,0.04546669499233621,-0.040290922509148765,88.61634327267495,0.7726221381433057,0.7056133440382218,0.06700879410508387,9.496531587908025,0.43524264416264774,0.5397100940660439,-0.10446744990339613,19.356215689123747,0.1,0.10774016115809326,-0.007740161158093256,7.1841002230687945,0.3767576873607216,0.43925396110279447,-0.06249627374207284,14.22782246178707,1.248,1.248,0.0,0.0
1,30.0,60.0,-5.477269768494952e-05,-0.001859945570311847,0.0018051728726268975,97.05514513116822,0.0007683874791945127,0.0022890879468729893,-0.0015207004676784765,66.43259249850276,0.0007703371772117613,0.0029494611631689376,-0.0021791239859571764,73.88210474403733,0.004450645249459384,0.06524490864781396,-0.06079426339835457,93.17855547398563,8,9,-1,11.11111111111111,20.06509244797352,20.234433446567174,-0.16934099859365404,0.8368951818731707,2.2856805710923935,3.0863008385872175,-0.800620267494824,25.941096133107855,16.741071428571427,15.906680805938494,0.8343906226329327,5.245535714285704,23.474178403755868,27.027027027027025,-3.5528486232711565,13.145539906103279,19.63350785340314,19.193865822229355,0.4396420311737863,2.2905340448124596,3.0297142857142854,3.0285,0.0012142857142851682,0.0400952852661439,0.34787752947007666,0.42230528057318906,-0.0744277511031124,17.62415828712647,0.1148218929786183,0.13944371159755292,-0.024621818618934616,17.657173878156225,0.538541239522719,0.5479436884519115,-0.009402448929192508,1.715951680319005,0.0010332352222543154,0.00026406482008320935,0.0007691704021711061,291.28090668372,0.000365599439640836,0.0019343815275787552,-0.0015687820879379192,81.09993119617654,0.8683646740126141,0.33781660572069544,0.5305480682919186,157.05209847812284,0.4123259049201375,0.32859672757206265,0.08372917734807483,25.480831159437724,0.31158400899168737,0.30210891391830796,0.009475095073379403,3.1363176115821343,0.1668064415046385,0.6701052244141525,-0.503298782909514,75.10742560610969,6.108,2.812,3.296,117.21194879089616
2,60.0,90.0,3.1095368399452963e-06,0.0038370428750523775,-0.0038339333382124323,99.91896007052299,0.0010337609278605073,0.0017176644083114975,-0.0006839034804509902,39.815896349816235,0.0010337656045692253,0.004203958734879578,-0.0031701931303103528,75.40971094715474,0.00801503493892782,0.13254951783427726,-0.12453448289534945,93.95317684297518,7,10,-3,30.0,16.925754250698947,22.985222307252585,-6.059468056553637,26.362451385304542,6.592323538323975,7.11558230351524,-0.5232587651912652,7.353702660887851,7.788161993769471,13.123359580052494,-5.335197586283023,40.654205607476634,26.978417266187048,34.403669724770644,-7.425252458583596,21.58273381294965,15.611292141872415,22.45508982035928,-6.843797678486865,30.47771232819484,4.212666666666666,2.882222222222223,1.3304444444444434,46.160370084811056,1.8371215407684802,0.9157507882458193,0.9213707525226609,100.61370018448,0.43609468446790955,0.31772386639215006,0.1183708180757595,37.25587864075044,2.7258648535831704,1.1570350037920203,1.5688298497911501,135.5905261854248,0.0015674083557257275,0.005309122742820989,-0.0037417143870952614,70.47707443107844,0.0005812751222342755,0.002036767620820771,-0.0014554924985864957,71.46090126864671,0.9169533385487663,0.3886224600091465,0.5283308785396197,135.94965111568308,0.35191615321785813,0.32657777825211726,0.025338374965740873,7.75875661269877,0.1,0.10268798719861912,-0.00268798719861911,2.617625753458391,0.2770785391470806,0.5087365519014035,-0.23165801275432296,45.535948201186024,9.996,2.624,7.372,280.9451219512195
3,90.0,120.0,-9.636896836016196e-06,0.007427893573947175,-0.007437530470783191,100.12973929607469,0.0005054526870984151,0.001832419849156267,-0.001326967162057852,72.4161093686499,0.0005055445466777745,0.007650579419198759,-0.007145034872520985,93.39207504454977,0.0019168146650672736,0.43898524087100715,-0.4370684262059399,99.56335327783138,9,10,-1,10.0,19.777213051804537,21.98732457965534,-2.2101115278508026,10.051752862627941,3.3093587795712898,4.4482082141562245,-1.1388494345849347,25.602430906012835,13.020833333333334,15.940488841657812,-2.919655508324478,18.315972222222225,23.1839258114374,31.847133757961785,-8.663207946524384,27.202472952086566,20.125199499633354,22.354694485842025,-2.229494986208671,9.97327423830679,3.138,2.8360000000000003,0.3019999999999996,10.648801128349774,0.6341829389064324,0.5458563099489746,0.0883266289574578,16.181296679654462,0.20209781354570822,0.19247401620203616,0.009623797343672053,5.000050154079054,0.898688568335629,0.7591192264723637,0.1395693418632653,18.385694499116525,0.0007616262745632206,0.008410515344666022,-0.007648889070102801,90.94435663747707,0.0003317718560657413,0.0020006876840901323,-0.001668915828024391,83.41710909183591,0.9574182192268957,0.23693351410267582,0.7204847051242199,304.0872912609551,0.6571629498684618,0.48322418691423624,0.17393876295422556,35.99545876727744,0.3310183692471474,0.11666666666666667,0.21435170258048072,183.7300307832692,0.5549829894231031,0.7422670475129044,-0.1872840580898013,25.231358271572113,2.936,1.248,1.688,135.25641025641025
4,120.0,150.0,0.00011953374713768925,0.011185067466216688,-0.011065533719078998,98.93130955625678,0.0006948116953690278,0.0016837665319666204,-0.0009889548365975926,58.734677155181636,0.0007050188711845659,0.011311092076275835,-0.01060607320509127,93.76701324301577,0.0037278870654476968,0.9595560296849247,-0.955828142619477,99.61149876087259,10,9,1,11.11111111111111,21.556331328166205,22.080588593092163,-0.5242572649259571,2.374290262760338,2.479224297102424,2.8875088011017347,-0.4082845039993108,14.139679984474126,16.797312430011196,18.13784764207981,-1.3405352120686125,7.39081746920495,24.4299674267101,27.173913043478258,-2.7439456167681584,10.097719869706824,22.62443438914027,21.350012746276267,1.2744216428640023,5.96918445908787,2.8244444444444445,2.763,0.061444444444444635,2.2238307797482677,0.3586168215398687,0.35165750383007605,0.006959317709792634,1.9790044671293114,0.12696897694173162,0.12727379798410282,-0.00030482104237120056,0.23950023272604337,0.46650187566611123,0.6484795403755728,-0.18197766470946153,28.062206034143735,0.0009762795219057411,0.013314375344180486,-0.012338095822274745,92.6674778450462,0.0004580530932398367,0.0023676715269895666,-0.0019096184337497298,80.65385810411635,0.7934452386868797,0.3580486969412968,0.43539654174558284,121.60260474763504,0.379597996156156,0.3088080997039516,0.0707898964522044,22.92358798880901,0.31357873230695577,0.36542396068430016,-0.0518452283773444,14.187692640695479,0.3527921332754316,0.4128673895840246,-0.060075256308593006,14.550739008261345,2.796,2.932,-0.13600000000000012,4.638472032742159
=======
0,0.0,30.0,-5.2355497037374315e-05,0.0006038295159138764,-0.0006561850129512506,108.67057599165817,0.0013027358317911344,0.0037229730374864025,-0.002420237205695268,65.00818516078516,0.0013037874617830045,0.003771622770392012,-0.0024678353086090075,65.43165790550435,0.01274896309126927,0.10668853741604636,-0.09393957432477709,88.05029724837921,6,6,0,0.0,13.605967572036098,13.495091222387439,0.11087634964865956,0.8216050400957886,1.2380830490953079,0.8307809657186507,0.4073020833766572,49.026410110916366,12.711864406779661,12.647554806070827,0.06430960070883351,0.508474576271177,16.059957173447536,14.910536779324056,1.1494203941234797,7.708779443254804,13.077593722755013,13.416815742397137,-0.33922201964212384,2.5283347863992964,4.4424,4.462400000000001,-0.020000000000000462,0.44818931516673666,0.3581159588736586,0.26574694730137544,0.09236901157228317,34.758258753403595,0.08061317280606398,0.05955247115932579,0.021060701646738185,35.36494999576541,0.6043806747406802,0.4190035799369737,0.18537709480370657,44.24236538303346,0.0020842205293551443,0.006065132556073843,-0.003980912026718699,65.63602674655593,0.0001819602147281169,0.00019818549325745127,-1.6225278529334364e-05,8.186915330002002,0.9658162220818377,0.9736981293418056,-0.007881907259967846,0.809481606511436,0.8816332102973455,0.929374537224725,-0.047741326927379424,5.136930808320119,0.23264830464858502,0.23250878127965072,0.00013952336893430228,0.06000778472383376,0.8036727130078761,0.8426104085410764,-0.038937695533200256,4.621079343254052,4.484,4.428,0.05600000000000005,1.2646793134598024
1,30.0,60.0,1.6762044894790244e-05,0.00042084525793400617,-0.00040408321303921595,96.01705268652006,0.0011913115214927622,0.0037086947931042067,-0.0025173832716114445,67.87787650502173,0.0011914294386955759,0.0037324961888157092,-0.0025410667501201334,68.07955377782699,0.010646280805428412,0.10448645849642846,-0.09384017769100005,89.81085112977361,6,6,0,0.0,13.742500025975417,13.564835717367174,0.177664308608243,1.3097416902792112,1.627843492372377,1.0525534942819423,0.5752899980904347,54.656604269116094,12.175324675324676,11.857707509881424,0.31761716544325225,2.678571428571427,16.025641025641026,14.807502467917079,1.2181385577239467,8.22649572649572,12.95336787564767,14.018691588785046,-1.065323713137376,7.599309153713282,4.4256,4.4512,-0.025599999999999845,0.5751258087706651,0.5035845907094457,0.3614849374455316,0.1420996532639141,39.30997907356115,0.11378899826225726,0.08121067070577184,0.03257832755648542,40.115821324167435,0.8948005364325615,0.5570888618523976,0.33771167458016393,60.620790991445396,0.0019739681650182512,0.005928214580212067,-0.003954246415193816,66.702147192728,0.0003257039542937802,0.0007779883539356868,-0.0004522843996419066,58.13511183732901,0.9557921998024633,0.9677667583464601,-0.01197455854399676,1.2373393114325046,0.9001363759045999,0.9303394267387,-0.03020305083410002,3.24645499976032,0.2328144186451857,0.23197491983089094,0.0008394988142947646,0.3618920592393164,0.6994923984136185,0.7643554674933489,-0.06486306907973038,8.485982221392927,4.48,4.416,0.06400000000000006,1.449275362318842
2,60.0,90.0,1.2830190387686372e-05,-0.0006083910512514857,0.000621221241639172,102.1088723052869,0.0012610698540501861,0.0036679345480093335,-0.0024068646939591474,65.61907423526421,0.0012611351198739736,0.0037180483482229386,-0.002456913228348965,66.08072295572111,0.011928463429346566,0.10367912639792491,-0.09175066296857834,88.49482644793454,7,6,1,16.666666666666664,15.013262451934018,14.9227216032213,0.09054084871271861,0.6067314737894325,1.1171768607452879,0.4757245927866989,0.641452267958589,134.83689464130723,13.477088948787062,14.218009478672986,-0.7409205298859245,5.211141060197669,16.181229773462782,15.657620041753654,0.5236097317091275,3.3441208198489605,15.3538609674921,14.955134596211368,0.3987263712807323,2.6661503359638297,4.019333333333333,4.024800000000001,-0.005466666666667841,0.13582455442923475,0.3075183824677081,0.12823478467249047,0.1792835977952176,139.80886563119745,0.07650979825867675,0.03186115699475513,0.04464864126392162,140.13502796295668,0.5724725320921521,0.19405153954555468,0.37842099254659745,195.0105592734867,0.001933159514287756,0.004810271594670869,-0.0028771120803831127,59.81184271529625,0.00023282215202437897,0.00045662583371897363,-0.00022380368169459467,49.01248794266263,0.9536292045263555,0.9369557662824285,0.016673438243926975,1.7795331267432606,0.765437986982114,0.8115891228760086,-0.046151135893894635,5.6865148377481916,0.23992015960047833,0.2422710434678923,-0.002350883867413972,0.9703528055863309,0.775351117802376,0.8230557780237219,-0.047704660221345896,5.796042199702651,3.912,3.96,-0.04800000000000004,1.2121212121212133
3,90.0,120.0,1.3253351249874879e-05,-0.0008336201888068202,0.000846873540056695,101.58985487969584,0.0012242636449237992,0.0034393836399105896,-0.0022151199949867906,64.40456276184344,0.001224335380360079,0.003538966295639298,-0.002314630915279219,65.4041525665644,0.011242478427010944,0.09393211831253201,-0.08268963988552107,88.03127340362448,6,7,-1,14.285714285714285,14.791679331587648,14.837852333256363,-0.04617300166871452,0.3111838602492767,1.5293728408899914,1.382029763412071,0.1473430774779203,10.661353422240875,13.23918799646955,12.853470437017995,0.38571755945155495,3.0008826125330974,16.949152542372882,16.778523489932887,0.17062905243999538,1.0169491525423724,13.786764705882351,14.825751659508004,-1.0389869536256526,7.007988380537407,4.0984,4.0793333333333335,0.019066666666666343,0.46739663343682814,0.4071253369663942,0.38350952472599115,0.023615812240403045,6.157816356002111,0.09933762857856583,0.09401279409854334,0.0053248344800224945,5.663946626712373,0.6043872930497464,0.596024160584116,0.008363132465630363,1.403153264363364,0.0020370514388101933,0.004258650784662638,-0.0022215993458524447,52.166741491306276,0.000531843853265156,0.0013542803622743614,-0.0008224365090092054,60.72867420362028,0.9591269190650606,0.9613280300573985,-0.0022011109923378847,0.22896565204766384,0.8722623482068136,0.8662189415359566,0.00604340667085701,0.6976765781802232,0.2397492356457723,0.24026395725627875,-0.0005147216105064467,0.21423172097237053,0.7090047805848876,0.7516883959879536,-0.04268361540306598,5.678365614114125,4.056,4.048,0.008000000000000007,0.19762845849802388
>>>>>>> 0af7f45debd8126668931449cffcd6ead073bb90
